Idx;Name;Label;Perc_missing;QC_RSD
134;M134;u144;1,428571429;15,53640122
135;M135;u14doublet;0;26,42397509
136;M136;u185;22,85714286;6,836917276
137;M137;u217;2,857142857;5,005220969
138;M138;u233;0,714285714;4,735333737
139;M139;u361;10;47,93980308
140;M140;u362;3,571428571;30,03372731
141;M141;u380large;1,428571429;41,57196037
142;M142;u43;0,714285714;7,151166059
143;M143;u433;1,428571429;24,82614373
144;M144;u87;0;6,635486126
145;M145;uarm1;23,57142857;41,40698539
146;M146;uarm2;4,285714286;34,45817233
147;M147;?-Alanine;1,428571429;27,62351708
148;M148;?-Methylhistidine;1,428571429;16,56192082
149;M149;?-Methylhistidine;0;8,351801436
